crosswalk_id,tube,on,off,distance
06-0000032134,가양,20669.30769230769,20122.74358974359,504.8861732821222
06-0000012862,양천향교,8965.923076923076,9118.794871794871,505.1361908368436
06-0000045674,마곡나루,21288.871794871797,20787.07692307692,505.34677720548484
06-0000013490,방화,6402.48717948718,6107.538461538462,505.6203843552307
06-0000020419,화곡,27246.28205128205,25422.128205128207,506.84055597113434
06-0000030278,가양,20669.30769230769,20122.74358974359,506.8969394921633
06-0000032156,등촌,10748.333333333334,10268.076923076924,506.9156819305322
06-0000037768,양천향교,8965.923076923076,9118.794871794871,507.43137036508
06-0000052149,마곡,9872.205128205129,9996.28205128205,508.3115365019596
06-0000046654,양천향교,8965.923076923076,9118.794871794871,508.3495415323842
06-0000014246,김포공항,25718.53846153846,24021.153846153848,508.4830557684764
06-0000032135,가양,20669.30769230769,20122.74358974359,508.7675445254188
06-0000050019,가양,20669.30769230769,20122.74358974359,508.80600086193726
06-0000012068,화곡,27246.28205128205,25422.128205128207,509.55271381816226
06-0000012114,까치산,27313.358974358973,26170.25641025641,509.70478096246063
06-0000012999,등촌,10748.333333333334,10268.076923076924,510.1939116929262
06-0000012889,까치산,27313.358974358973,26170.25641025641,510.2288264287752
06-0000037236,화곡,27246.28205128205,25422.128205128207,510.3883770059695
06-0000027418,등촌,10748.333333333334,10268.076923076924,510.40875161825926
06-0000002634,김포공항,25718.53846153846,24021.153846153848,510.75360623599886
06-0000032136,가양,20669.30769230769,20122.74358974359,511.26103413432156
06-0000031466,우장산,13611.076923076924,13370.076923076924,511.65552326577466
06-0000013129,가양,20669.30769230769,20122.74358974359,511.9124151019221
06-0000025506,우장산,13611.076923076924,13370.076923076924,511.9982475934033
06-0000052150,발산,19879.82051282051,20772.97435897436,512.0583266099316
06-0000013130,가양,20669.30769230769,20122.74358974359,512.2881417532443
06-0000038822,까치산,27313.358974358973,26170.25641025641,513.0371336817406
06-0000047269,염창,16735.410256410258,16139.615384615385,513.7826162811024
06-0000013632,개화산,5385.2307692307695,5159.564102564103,513.9537796308452
06-0000019863,등촌,10748.333333333334,10268.076923076924,514.0202035525261
06-0000045861,마곡나루,21288.871794871797,20787.07692307692,514.7386328517738
06-0000027405,등촌,10748.333333333334,10268.076923076924,515.0297925022683
06-0000049611,양천향교,8965.923076923076,9118.794871794871,515.0335906324839
06-0000030692,까치산,27313.358974358973,26170.25641025641,515.2569044871441
06-0000052136,마곡나루,21288.871794871797,20787.07692307692,515.871939904223
06-0000003620,까치산,27313.358974358973,26170.25641025641,516.0814047480815
06-0000034384,마곡나루,21288.871794871797,20787.07692307692,516.5315433917838
06-0000045295,마곡나루,21288.871794871797,20787.07692307692,516.6612013291849
06-0000013259,가양,20669.30769230769,20122.74358974359,517.5168128241854
06-0000030690,까치산,27313.358974358973,26170.25641025641,517.7359383014385
06-0000013570,가양,20669.30769230769,20122.74358974359,519.2608018693523
06-0000027434,염창,16735.410256410258,16139.615384615385,519.5311684178619
06-0000028000,개화산,5385.2307692307695,5159.564102564103,519.6366944211876
06-0000049623,양천향교,8965.923076923076,9118.794871794871,519.7064683890436
06-0000014249,공항시장,2778.153846153846,2968.974358974359,519.7735946930104
06-0000027435,염창,16735.410256410258,16139.615384615385,520.3129508019481
06-0000045291,마곡나루,21288.871794871797,20787.07692307692,520.6266131859602
06-0000050018,발산,19879.82051282051,20772.97435897436,521.0218635646914
06-0000012071,화곡,27246.28205128205,25422.128205128207,521.3095120735283
06-0000030693,까치산,27313.358974358973,26170.25641025641,521.6401451552732
06-0000049669,양천향교,8965.923076923076,9118.794871794871,521.9288023783492
06-0000049622,양천향교,8965.923076923076,9118.794871794871,521.9386461462001
06-0000027003,양천향교,8965.923076923076,9118.794871794871,522.5690375035358
06-0000012442,화곡,27246.28205128205,25422.128205128207,522.5750435317333
06-0000031465,우장산,13611.076923076924,13370.076923076924,523.0571119239531
06-0000049497,양천향교,8965.923076923076,9118.794871794871,523.5367254397197
06-0000024543,까치산,27313.358974358973,26170.25641025641,523.640336061553
06-0000015756,김포공항,25718.53846153846,24021.153846153848,523.7517693393262
06-0000030691,까치산,27313.358974358973,26170.25641025641,524.1486072289881
06-0000047268,등촌,10748.333333333334,10268.076923076924,524.2629637412999
06-0000049534,마곡,9872.205128205129,9996.28205128205,524.5713893056786
06-0000044391,발산,19879.82051282051,20772.97435897436,525.1201968799926
06-0000015710,등촌,10748.333333333334,10268.076923076924,525.9603525143333
06-0000031761,방화,6402.48717948718,6107.538461538462,526.1834233662066
06-0000002944,우장산,13611.076923076924,13370.076923076924,527.9531980062003
06-0000045862,마곡나루,21288.871794871797,20787.07692307692,527.9576600426202
06-0000045296,마곡나루,21288.871794871797,20787.07692307692,528.2018621089032
06-0000051463,가양,20669.30769230769,20122.74358974359,528.2314164359489
06-0000049536,마곡,9872.205128205129,9996.28205128205,528.3228444886406
06-0000048405,등촌,10748.333333333334,10268.076923076924,528.7353102864876
06-0000027802,가양,20669.30769230769,20122.74358974359,528.8086336414954
06-0000033820,까치산,27313.358974358973,26170.25641025641,529.5389144791748
06-0000027431,염창,16735.410256410258,16139.615384615385,529.7744202013008
06-0000011418,우장산,13611.076923076924,13370.076923076924,529.8277839479534
06-0000024637,우장산,13611.076923076924,13370.076923076924,530.4554966623136
06-0000028754,마곡,9872.205128205129,9996.28205128205,530.8370913878501
06-0000050017,가양,20669.30769230769,20122.74358974359,531.1238695210383
06-0000011881,우장산,13611.076923076924,13370.076923076924,531.3772418181087
06-0000011052,우장산,13611.076923076924,13370.076923076924,531.3961554656516
06-0000049625,양천향교,8965.923076923076,9118.794871794871,532.994028323055
06-0000045693,발산,19879.82051282051,20772.97435897436,533.0090574351403
06-0000049559,마곡나루,21288.871794871797,20787.07692307692,534.073913027581
06-0000051457,마곡나루,21288.871794871797,20787.07692307692,534.4275083733635
06-0000012072,화곡,27246.28205128205,25422.128205128207,534.9050035242542
06-0000049563,마곡나루,21288.871794871797,20787.07692307692,535.0497851107789
06-0000049535,발산,19879.82051282051,20772.97435897436,535.1050089129097
06-0000024636,우장산,13611.076923076924,13370.076923076924,536.4258680188834
06-0000032154,화곡,27246.28205128205,25422.128205128207,536.6354092233797
06-0000049624,양천향교,8965.923076923076,9118.794871794871,537.1825382721174
06-0000035040,양천향교,8965.923076923076,9118.794871794871,538.579095346323
06-0000049538,발산,19879.82051282051,20772.97435897436,538.9677003395145
06-0000031627,양천향교,8965.923076923076,9118.794871794871,539.4809063907093
06-0000012170,양천향교,8965.923076923076,9118.794871794871,539.6426535662755
06-0000039992,화곡,27246.28205128205,25422.128205128207,539.9563574608127
06-0000035201,가양,20669.30769230769,20122.74358974359,540.4533370649132
