crosswalk_id,cafe,distance,cafe_area
06-0000013059,스타벅스 마곡GMG점,1362.4277203211418,217.35
06-0000014300,스타벅스 김포공항DT점,1366.773729526442,450.87
06-0000014246,스타벅스 김포공항DT점,1382.1430611518135,450.87
06-0000024649,스타벅스 김포공항DT점,1383.3814493462105,450.87
06-0000013123,스타벅스 마곡GMG점,1383.5775719724043,217.35
06-0000013121,스타벅스 마곡GMG점,1392.2441175252598,217.35
06-0000013117,스타벅스 마곡GMG점,1393.7884798455789,217.35
06-0000013125,스타벅스 마곡GMG점,1398.9390578337689,217.35
06-0000036060,스타벅스 마곡GMG점,1399.6704219962442,217.35
06-0000013122,스타벅스 마곡GMG점,1400.6452451365162,217.35
06-0000013124,스타벅스 마곡GMG점,1420.1381285707298,217.35
06-0000013156,스타벅스 마곡GMG점,1427.317115979214,217.35
06-0000042139,스타벅스 마곡GMG점,1428.4478792620014,217.35
06-0000012411,스타벅스 마곡GMG점,1428.7152135744861,217.35
06-0000036059,스타벅스 마곡GMG점,1433.816332355036,217.35
06-0000013155,스타벅스 마곡GMG점,1447.4462925738583,217.35
06-0000013056,스타벅스 김포공항DT점,1449.028213177534,450.87
06-0000042140,스타벅스 마곡GMG점,1512.1827345894058,217.35
06-0000049318,스타벅스 마곡GMG점,1643.2897559139424,217.35
06-0000042143,스타벅스 우장산역점,1754.791209113342,244.4
06-0000042141,스타벅스 마곡GMG점,1766.6005708345017,217.35
06-0000042142,스타벅스 우장산역점,1828.0450582400579,244.4
06-0000042146,스타벅스커피 화곡동점,1850.4077791153197,281.76
06-0000042145,스타벅스커피 화곡동점,1851.5752858890203,281.76
06-0000042144,스타벅스커피 화곡동점,1854.3435550632162,281.76
06-0000042147,스타벅스커피 화곡동점,1888.1512171146219,281.76
06-0000042148,스타벅스커피 화곡동점,1892.8088969739827,281.76
06-0000022107,스타벅스 마곡GMG점,1927.3528799090811,217.35
06-0000036058,스타벅스 마곡GMG점,1942.7513582574961,217.35
06-0000011834,스타벅스 마곡GMG점,1947.2034275942733,217.35
06-0000046600,스타벅스 마곡GMG점,1954.877682147318,217.35
06-0000036057,스타벅스 마곡GMG점,1961.4736728501282,217.35
06-0000015659,스타벅스 마곡GMG점,1961.786180884544,217.35
06-0000038163,스타벅스 방화DT,2128.892645061494,373.97
06-0000012938,스타벅스 방화DT,2233.9728397565245,373.97
06-0000019177,스타벅스 김포공항DT점,2333.2388996409477,450.87
06-0000037822,스타벅스 마곡GMG점,2386.0032775767186,217.35
06-0000037821,스타벅스 마곡GMG점,2394.167723746422,217.35
06-0000037820,스타벅스 마곡GMG점,2399.3306032921855,217.35
06-0000037823,스타벅스 마곡GMG점,2404.9766910018734,217.35
